title,price,location,neighborhood,rooms,bathrooms,area_m2,publisher,url
Casa en  Venta en Tunja,465000000.0,"Tunja, Boyaca",N/A,4,3,168,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273858
Casa en  Venta en Tunja,450000000.0,"Tunja, Boyaca",N/A,9,5,230,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273619
Casa en  Venta en Tunja,480000000.0,"Tunja, Boyaca",N/A,5,4,240,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191274057
Casa en  Venta en Tunja,630000000.0,"Tunja, Boyaca",N/A,4,4,195,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/191273887
Casa en  Venta en Tunja,400000000.0,"Tunja, Boyaca",N/A,7,3,200,Casa 360,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/192072777
"Casa en Venta en La pradera, Tunja",430000000.0,"Tunja, Boyaca",La Pradera,5,5,221,ATOS Inmobiliaria SAS,https://www.fincaraiz.com.co/casa-en-venta-en-la-pradera-tunja/192383829
Casa en venta en Tunja,650000000.0,"Tunja, Boyaca",N/A,4,4,240,INMOBILIARIA Y CONSTRUCTORA 2 MIL,https://www.fincaraiz.com.co/casa-en-venta-en-tunja/7896504
"Casa Lote en venta en Las nieves, Tunja",550000000.0,"Tunja, Boyaca",Las Nieves,N/A,N/A,376,Inmobiliaria Fenix,N/A
"Casa en venta en Cr. terrazas de santa ines, Tunja",600000000.0,"Tunja, Boyaca",Cr. Terrazas De Santa Ines,5,3,232,Inmobiliaria Eskala,https://www.fincaraiz.com.co/casa-en-venta-en-cr-terrazas-de-santa-ines-tunja/6844586
"Casa en  Venta en Comuna 1, Tunja",450000000.0,"Tunja, Boyaca",Comuna 1,4,3,160,yolanda galan,https://www.fincaraiz.com.co/casa-en-venta-en-comuna-1-tunja/191679739
